GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1
IND.1_1,IND,India,AndamanandNicobar,Andaman&NicobarIslands|Andama,NA,UnionTerritor,UnionTerritory,NA,IN.AN,NA
IND.2_1,IND,India,AndhraPradesh,NA,NA,State,State,NA,IN.AP,IN-AP
IND.3_1,IND,India,ArunachalPradesh,AgencedelaFrontièreduNord-E,NA,State,State,NA,IN.AR,IN-AR
Z07.3_1,Z07,India,ArunachalPradesh,AgencedelaFrontièreduNord-E,NA,State,State,NA,IN.AR,NA
IND.4_1,IND,India,Assam,NA,NA,State,State,NA,IN.AS,IN-AS
IND.5_1,IND,India,Bihar,NA,NA,State,State,NA,IN.BR,IN-BR
IND.6_1,IND,India,Chandigarh,NA,NA,UnionTerritor,UnionTerritory,NA,IN.CH,IN-CH
IND.7_1,IND,India,Chhattisgarh,NA,NA,State,State,NA,IN.CT,IN-CT
IND.8_1,IND,India,DadraandNagarHaveli,DAdraetNagarHaveli|DadraeNa,NA,UnionTerritor,UnionTerritory,NA,IN.DN,IN-DN
IND.9_1,IND,India,DamanandDiu,NA,NA,UnionTerritor,UnionTerritory,NA,IN.DD,NA
IND.10_1,IND,India,Goa,Gôa,NA,State,State,NA,IN.GA,IN-GA
IND.11_1,IND,India,Gujarat,Goudjerate|Gujerat|Gujerate,NA,State,State,NA,IN.GJ,IN-GJ
IND.12_1,IND,India,Haryana,NA,NA,State,State,NA,IN.HR,IN-HR
IND.13_1,IND,India,HimachalPradesh,NA,NA,UnionTerritor,UnionTerritory,NA,IN.HP,IN-HP
Z04.13_1,Z04,India,HimachalPradesh,NA,NA,UnionTerritor,UnionTerritory,NA,IN.HP,NA
Z09.13_1,Z09,India,HimachalPradesh,NA,NA,UnionTerritor,UnionTerritory,NA,IN.HP,NA
Z01.14_1,Z01,India,JammuandKashmir,NA,NA,State,State,NA,IN.JK,NA
IND.15_1,IND,India,Jharkhand,Vananchal,NA,State,State,NA,IN.JH,IN-JH
IND.16_1,IND,India,Karnataka,Maisur|Mysore,NA,State,State,NA,IN.KA,IN-KA
IND.17_1,IND,India,Kerala,NA,NA,State,State,NA,IN.KL,IN-KL
IND.18_1,IND,India,Lakshadweep,ÍlesLaquedives|Laccadive|Minico,NA,UnionTerritor,UnionTerritory,NA,IN.LD,IN-LD
IND.19_1,IND,India,MadhyaPradesh,NA,NA,State,State,NA,IN.MP,IN-MP
IND.20_1,IND,India,Maharashtra,NA,NA,State,State,NA,IN.MH,IN-MH
IND.21_1,IND,India,Manipur,NA,NA,State,State,NA,IN.MN,IN-MN
IND.22_1,IND,India,Meghalaya,NA,NA,State,State,NA,IN.ML,IN-ML
IND.23_1,IND,India,Mizoram,NA,NA,State,State,NA,IN.MZ,IN-MZ
IND.24_1,IND,India,Nagaland,NA,NA,State,State,NA,IN.NL,IN-NL
IND.25_1,IND,India,NCTofDelhi,NA,NA,UnionTerritor,UnionTerritory,NA,IN.DL,NA
IND.26_1,IND,India,Odisha,NA,NA,State,State,NA,IN.OR,IN-OR
IND.27_1,IND,India,Puducherry,Pondicherry|Puduchcheri|Pondiché,NA,UnionTerritor,UnionTerritory,NA,IN.PY,IN-PY
IND.28_1,IND,India,Punjab,NA,NA,State,State,NA,IN.PB,IN-PB
IND.29_1,IND,India,Rajasthan,GreaterRajasthan|Rajputana,NA,State,State,NA,IN.RJ,IN-RJ
IND.30_1,IND,India,Sikkim,NA,NA,State,State,NA,IN.SK,IN-SK
IND.31_1,IND,India,TamilNadu,Madras|Tamilnad,NA,State,State,NA,IN.TN,IN-TN
IND.32_1,IND,India,Telangana,NA,NA,State,State,NA,IN.TG,IN-TG
IND.33_1,IND,India,Tripura,NA,NA,State,State,NA,IN.TR,IN-TR
IND.34_1,IND,India,UttarPradesh,UnitedProvinces,NA,State,State,NA,IN.UP,IN-UP
IND.35_1,IND,India,Uttarakhand,Uttarakhand,NA,State,State,NA,IN.UT,IN-UT
Z05.35_1,Z05,India,Uttarakhand,Uttarakhand,NA,State,State,NA,IN.UT,NA
Z09.35_1,Z09,India,Uttarakhand,Uttarakhand,NA,State,State,NA,IN.UT,NA
IND.36_1,IND,India,WestBengal,Bangla|BengalaOccidentale|Benga,NA,State,State,NA,IN.WB,IN-WB
